"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","HTTP","",""
"pre_128cipher","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","not offered","",""
"SSLv3","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","not offered","",""
"TLS1","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_1","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","not offered","",""
"TLS1_2","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","offered","",""
"TLS1_3","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","offered with final","",""
"ALPN_HTTP2","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","h2","",""
"cipherlist_NULL","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.prix-carburants.gouv.fr/45.223.57.83","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipherlist_STRONG_FS","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","offered","",""
"cipher_order-tls1_2","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","server","",""
"cipherorder_TLSv1_2","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","server","",""
"FS","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","offered","",""
"FS_ciphers","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'status request/#5' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","yes","",""
"sessionresumption_ticket","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","supported","",""
"sessionresumption_ID","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","supported","",""
"TLS_timestamp","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","random","",""
"certificate_compression","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","none","",""
"clientAuth","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","none","",""
"cert_numbers","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","1","",""
"cert_signatureAlgorithm","www.prix-carburants.gouv.fr/45.223.57.83","443","OK","SHA256 with RSA","",""
"cert_keySize","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","012136ACDE721F1F09BCC7DE054DA265","",""
"cert_serialNumberLen","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","16","",""
"cert_fingerprintSHA1","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","3990D121C0BFFF019812E93CD90D69B0CD8892AE","",""
"cert_fingerprintSHA256","www.prix-carburants.gouv.fr/45.223.57.83","443","INFO","38D4B1ED94E77846EE21F01D7F2C22BBB2608CC25A2643371AF48278E3E9677B","",""
