"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","HTTP","",""
"pre_128cipher","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","No 128 cipher limit bug","",""
"SSLv2","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","not offered","",""
"SSLv3","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","not offered","",""
"TLS1","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","not offered","",""
"TLS1_1","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","not offered","",""
"TLS1_2","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","offered","",""
"TLS1_3","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","offered with final","",""
"ALPN_HTTP2","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","h2","",""
"ALPN","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","http/1.1","",""
"cipherlist_NULL","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_LOW","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","not offered","",""
"cipherlist_STRONG","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","offered","",""
"cipher_order-tls1_2","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","OK","server","",""
"cipherorder_TLSv1_2","gouvernement-ouvert.transformation.gouv.fr/94.23.123.122","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
